group,method,image_count,mean_center_offset_ratio,median_center_offset_ratio,stdev_center_offset_ratio,mean_margin_imbalance_ratio,median_margin_imbalance_ratio,stdev_margin_imbalance_ratio,mean_background_std,median_background_std,stdev_background_std,mean_background_edge_density,median_background_edge_density,stdev_background_edge_density,mean_foreground_background_difference,median_foreground_background_difference,stdev_foreground_background_difference,mean_occupancy_ratio,median_occupancy_ratio,stdev_occupancy_ratio,mean_bounding_box_ratio,median_bounding_box_ratio,stdev_bounding_box_ratio,mean_minimum_margin_ratio,median_minimum_margin_ratio,stdev_minimum_margin_ratio,mean_foreground_brightness,median_foreground_brightness,stdev_foreground_brightness,mean_foreground_contrast,median_foreground_contrast,stdev_foreground_contrast,mean_foreground_sharpness,median_foreground_sharpness,stdev_foreground_sharpness,mean_foreground_edge_density,median_foreground_edge_density,stdev_foreground_edge_density
overall,baseline,15,0.015811014415972914,0.005541329849564715,0.021180996170498127,0.19222256697350001,0.17134416543574593,0.08781084552536841,7.163956315724543,6.271821581462329,4.014883600935347,0.0008933456482936996,0.0005426261639779332,0.0007768047665323629,44.86650015513102,40.576560974121094,34.82523740502958,0.22372547478945617,0.20355443828272685,0.10489781860588643,0.3757464921204633,0.4070660287654515,0.13625300635895035,0.08518580815407659,0.08204966991512103,0.012447964683172857,123.10134705999693,128.14046044617007,33.64014980051687,51.91101766551889,59.20731903519843,12.378137451277388,98.41995929681424,94.14802860158254,58.986388742038955,0.05020937067961963,0.035816964984950996,0.03784418583483673
overall,nobg_only,15,0.008008639519382346,0.0009765625,0.018950977692601026,0.18177083333333333,0.177734375,0.08478345283776195,9.734061368610652,9.624649181842498,4.263036759072221,0.02320870893053412,0.021532217735769518,0.013324445624881002,50.942346064249676,47.24424362182617,41.61553280704493,0.20603663126627605,0.18241119384765625,0.10560401226008582,0.4076093037923177,0.4231452941894531,0.14917821838692916,0.07421875,0.07421875,0.0,117.74555228274343,126.6878248786262,36.557461102408546,53.09356565564925,59.32221028053406,15.154757621901041,1151.2270274343437,1077.4566396473112,699.3704984988948,0.13285235319306965,0.1322372682686079,0.056323795911634486
overall,nobg_crop_pad,15,0.007448825993450024,0.0006905339660024878,0.01634892685082796,0.18098958333333334,0.1640625,0.08568877188596619,9.866199059670159,9.381315496999127,4.454256357760823,0.02359313609035287,0.02156256322802555,0.014357137850974517,51.2692964553833,49.2723388671875,41.71289027873938,0.20366770426432293,0.17914581298828125,0.10659898992282783,0.40311508178710936,0.42148590087890625,0.15014663871841383,0.07682291666666667,0.07421875,0.009558822214282255,118.68889893163167,127.6362654876356,36.98717443757549,52.03648989961154,59.719736231988406,15.135612761078235,1158.4675108756176,1073.2685794736458,705.7255154700408,0.13196675982849232,0.13303503396397712,0.05937317576285412
overall,final_proposed,15,0.010436598498174557,0.0009765625,0.022496235581223434,0.185546875,0.177734375,0.08190493037649003,10.532316387610667,8.37814103216406,6.482875137472933,0.031706501837421526,0.025169854316808193,0.020010745999943434,31.080478843053182,22.11784553527832,27.162555762473087,0.19632288614908855,0.18643569946289062,0.07292410963665516,0.38319931030273435,0.42148590087890625,0.12513171403717857,0.08020833333333334,0.07421875,0.02212748238402882,118.69524256115844,126.3720137642623,22.416621188775064,62.87103302111847,65.85002613415189,9.190022642285738,3408.164441471251,2411.7383605435725,2225.6446933461134,0.19876477108897583,0.20500796063106094,0.06743102004412567
mouse,baseline,5,0.02538529166496859,0.022101382502359032,0.017737848013443438,0.19481591882380772,0.14741847826086957,0.07421152187217851,9.86648063803044,8.431441728940586,5.726271274021677,0.0010219440500349754,0.0005426261639779332,0.0011103824629737089,42.78697547912598,40.576560974121094,25.758139202191042,0.17745102956105646,0.20355443828272685,0.061993890890533886,0.31645795852138664,0.2945120510396975,0.1178803315186586,0.0963815204485779,0.0909952606635071,0.01599285845838661,150.32387677457865,148.1737190191324,16.882624397877183,53.53277579419229,60.746825950002695,12.48350816733039,102.45692734070019,110.08974310300262,84.70049089505594,0.023165950173531406,0.023152384001037314,0.015429156827287484
mouse,nobg_only,5,0.022416027798944048,0.0009765625,0.029457431786043608,0.201171875,0.1875,0.07350862994749537,11.39328429235283,9.739828462524489,5.719398978446816,0.015414429789949701,0.01201846428553909,0.00861518870000986,38.91519145965576,34.91936111450195,26.365278479211284,0.17556915283203126,0.20462799072265625,0.062363089783365196,0.3592796325683594,0.3289794921875,0.13543310158149227,0.07421875,0.07421875,0.0,147.09978557015413,145.440699451922,18.27750692974666,58.15701910954207,64.27606345908433,9.72174124631353,673.9782415018414,675.6029819769283,310.2390900304137,0.10781193977991807,0.1040439099200904,0.024099235681861682
mouse,nobg_crop_pad,5,0.01965835504064922,0.0021836601342771385,0.025441675060621196,0.197265625,0.154296875,0.07730280244985664,11.178498971303133,9.707634296028003,6.173079375047297,0.015046431423142437,0.011241909603466296,0.008882524194396698,40.39939956665039,38.78267288208008,27.13361029257924,0.17509918212890624,0.19991302490234375,0.06276409894189337,0.351666259765625,0.3105354309082031,0.13722327375807009,0.081640625,0.07421875,0.016595817020506252,148.10517570571685,147.3705300919742,18.48633907891354,56.39616511037951,62.92027324972733,10.330452188761246,678.1360981600212,693.7204534915959,308.4249022790987,0.1062101106498921,0.09837338564655877,0.026381546374920857
mouse,final_proposed,5,0.026443831137655804,0.0009765625,0.035617025617528386,0.206640625,0.20703125,0.07485082413723604,11.19753628657008,9.993491036633687,5.595593018866416,0.01999672117576931,0.017859359406574748,0.008500114518380023,17.94504919052124,15.193275451660156,10.57117084534128,0.1851287841796875,0.20006561279296875,0.07867681881821684,0.3513359069824219,0.30841827392578125,0.1398211509667713,0.07421875,0.07421875,0.0,134.57118468817617,133.9143499980933,8.176448989877699,66.24726216538842,68.36978728541902,5.497708759687235,1690.909180204742,1895.4584624254128,782.8008326365383,0.1446149563178633,0.15188071035873907,0.04023207086131282
bottle,baseline,5,0.00510464571337229,0.0038401246426245485,0.004915282690814847,0.1871941040341533,0.2589344442008331,0.119914053503861,6.77174091099199,6.271821581462329,1.4102890189645378,0.001127400285928152,0.0011973529017918784,0.0006403506730544734,70.90978775024413,42.74973678588867,40.70658823974686,0.24360871975125042,0.1468624997830765,0.15899538268912308,0.3957789363898166,0.26990238440442477,0.19489520998609788,0.08076813009357066,0.08199956149967112,0.005951818528741746,84.11237234546203,98.28109924648824,21.18195041594053,48.284248694051186,59.20731903519843,17.126633454399663,60.1248707260616,56.201020379493336,20.82037071474099,0.029866040054330495,0.034892139624466426,0.00991027777608588
bottle,nobg_only,5,0.0007477396728019902,0.0006905339660024878,0.00012791584910460942,0.174609375,0.2578125,0.13182219257052874,10.282739625337996,9.283392199923743,3.7887566654649865,0.020996023371997442,0.021532217735769518,0.00705877310959666,96.09707412719726,114.08149719238281,31.307982520741938,0.23112411499023439,0.13124465942382812,0.17516638444690188,0.4271278381347656,0.2854156494140625,0.22453253276419702,0.07421875,0.07421875,0.0,73.85275608058109,64.60824537931718,19.490105626919803,41.290919593356634,29.953921827451655,20.21371331586534,946.2300116317126,900.1896642481327,626.8993739463788,0.09912574852790694,0.12041028690352312,0.04837972545068186
