group,method,mesh_count,mean_file_size_mb,mean_vertex_count,mean_face_count,mean_connected_components,mean_degenerate_faces,mean_surface_area,mean_bounding_box_volume,watertight_meshes,winding_consistent_meshes
mouse,baseline,5,0.20898284912109374,5468.8,10884.8,1.0,0.0,1.3894504153386666,0.2226233468228283,0,5
mouse,nobg_only,5,0.1980804443359375,5181.0,10316.0,1.0,0.0,1.3119227860394616,0.20482774320856745,0,5
mouse,nobg_crop_pad,5,0.19074325561523436,4989.4,9930.4,1.0,0.0,1.2623403448673074,0.20190574548186171,0,5
mouse,final_proposed,5,0.19930572509765626,5213.8,10379.2,1.0,0.0,1.3315336803130067,0.20557724166111493,0,5
bottle,baseline,5,0.24774932861328125,6483.6,12919.2,1.4,0.2,1.5970658657143353,0.3355608582097311,0,5
bottle,nobg_only,5,0.2576728820800781,6745.8,13436.8,1.0,0.0,1.674224976176443,0.36345020039065495,0,5
bottle,nobg_crop_pad,5,0.25429763793945315,6657.8,13259.2,1.2,0.0,1.6440497462381916,0.35078229399407473,0,5
bottle,final_proposed,5,0.25645294189453127,6714.4,13372.0,2.0,0.4,1.6761283455182283,0.33211945404454707,0,5
shoe,baseline,5,0.26676406860351565,6988.8,13907.2,3.0,0.0,1.710520883434107,0.35801759003685124,0,5
shoe,nobg_only,5,0.24736709594726564,6477.8,12893.6,1.8,0.6,1.5923394052247042,0.3260724683249091,0,5
shoe,nobg_crop_pad,5,0.24911422729492189,6522.8,12986.4,2.4,0.0,1.6012193497616292,0.32515847737170084,0,5
shoe,final_proposed,5,0.24328994750976562,6372.6,12677.6,2.2,0.4,1.5806033927293706,0.3066881649659209,0,5
