method,object,comparison_count,mean_chamfer_distance,median_chamfer_distance,stdev_chamfer_distance,minimum_chamfer_distance,maximum_chamfer_distance,mean_hausdorff_95,median_hausdorff_95,stdev_hausdorff_95,minimum_hausdorff_95,maximum_hausdorff_95,mean_maximum_distance,median_maximum_distance,stdev_maximum_distance,minimum_maximum_distance,maximum_maximum_distance
baseline,mouse,10,0.06508517172406963,0.06507838903226117,0.022260655386026316,0.03739431840099363,0.0942387448690537,0.23767736534269082,0.2557421463752713,0.07222139044904972,0.1158823266253985,0.34112944362865094,0.2946989875892907,0.3131740323345177,0.08421141563412111,0.1542292079692752,0.40898121683007144
baseline,bottle,10,0.06528274114386154,0.06856628739139062,0.03852318600584008,0.02037332682259064,0.14272019551776974,0.21797741108026245,0.23682234147251485,0.11022472070314679,0.08730668714090857,0.44145820801523294,0.2676623425417999,0.25482731615325627,0.09824248867297479,0.1640526296026664,0.4667695450523441
baseline,shoe,10,0.05197179619651303,0.054256884354208675,0.009892530665123103,0.030275595295632514,0.0634485538724423,0.1988208668519142,0.19991711785237365,0.03358128493835015,0.11812298895411129,0.23926999051643724,0.2549674138611285,0.2535854528242045,0.033910354916203804,0.1765745904033599,0.29565836500560727
nobg_only,mouse,10,0.05623523933658098,0.04994710529211885,0.02126227129608388,0.027268776575885726,0.09225909931804173,0.2212049887726914,0.23583897890850958,0.08906127602886883,0.09359369873585992,0.33588526908910366,0.2748210392276701,0.290766768135693,0.10595843496865984,0.11972190694535902,0.40028832105334733
nobg_only,bottle,10,0.06887991800890791,0.06617925926817891,0.04709256632292836,0.014721783504946167,0.14611903640543708,0.23903823607086871,0.22533041392867084,0.15746443952574612,0.04280064680949389,0.4907259658208666,0.28982894109069546,0.2437423722641655,0.16118758736299113,0.12044970722103443,0.5635068259192251
nobg_only,shoe,10,0.05084475129295492,0.04982339833875966,0.0158813041946429,0.03100725263242227,0.07654597125477186,0.2099110860836892,0.20059618600795923,0.07762974629807766,0.07766023529445092,0.31566457099190126,0.273932628062515,0.26183201478120793,0.08481909088465835,0.12591521831863903,0.39543296143306444
nobg_crop_pad,mouse,10,0.06365616733003358,0.06598618412765161,0.0210746970345238,0.028596425742575385,0.09043901807069744,0.2500591140951197,0.27891280872286683,0.0849305044908201,0.10182970918985772,0.3389118166531741,0.2979893740278189,0.33421289014823696,0.09328445207922685,0.1221784414374977,0.40325151034891393
nobg_crop_pad,bottle,10,0.06288201424276622,0.06855633218186609,0.038563130633280394,0.01555192492892105,0.13344096940372785,0.21508971706456706,0.23320543796283005,0.11535680553539253,0.07153653289899302,0.4384438676779022,0.2580699654304854,0.25152907000092195,0.11054063508103844,0.1300966797352315,0.48044382651303374
nobg_crop_pad,shoe,10,0.053758082261447106,0.05264556794507822,0.015779949876051063,0.03150608371197949,0.0751504506965178,0.22127417765549146,0.2099301379269872,0.07645021963762666,0.09897184706937688,0.332066292463282,0.2839336432749723,0.27428916846261253,0.08509707474149945,0.1378050984614078,0.40957391328308645
final_proposed,mouse,10,0.05613531093069442,0.056370046110728225,0.019464833865944935,0.02653291812840542,0.09669781198122705,0.2161179510748404,0.22822125646221605,0.08094750693547498,0.05927783460282527,0.3497568183679071,0.2721591944471745,0.29157961587765413,0.0917146341847493,0.07212930490125294,0.39132859891030985
final_proposed,bottle,10,0.06795959639923435,0.06457055169357595,0.046781644153752626,0.014947643669685078,0.16732005601022348,0.21939874349117647,0.23092636846879555,0.12819005156424065,0.07581304673915322,0.4862360918762619,0.26456082080041177,0.2542513474838535,0.10867268630666929,0.15986642120909053,0.4981066161269576
final_proposed,shoe,10,0.05155835270874339,0.05501211911764352,0.015211542214025089,0.028366265007061763,0.07090180675978647,0.20964973502896744,0.22357570852753764,0.06839019614115058,0.0821149787974061,0.2949460630025798,0.2685224226246127,0.27237681597872543,0.07467537443488079,0.12475467545891572,0.355546551984803
