stage,from_method,to_method,group,metric,pair_count,from_mean,to_mean,mean_difference,mean_change_percent,improved_pairs,worsened_pairs,unchanged_pairs,wilcoxon_statistic,wilcoxon_p_value,exact_sign_test_p_value,rank_biserial_effect,effect_magnitude
Background removal,baseline,nobg_only,overall,chamfer_distance,30,0.060779903021481396,0.058653302879481256,-0.002126600142000132,-3.498854121646982,17,13,0,180.0,0.28936620615422726,0.5846647117286922,0.22580645161290322,Small
Background removal,baseline,nobg_only,overall,hausdorff_95,30,0.21815854775828913,0.2233847703090831,0.005226222550793944,2.395607508620021,16,14,0,222.0,0.8393927440047264,0.8555355519056321,-0.04516129032258064,Negligible
Background removal,baseline,nobg_only,overall,maximum_distance,30,0.272442914664073,0.2795275361269602,0.007084621462887202,2.6004058397417498,14,16,0,215.0,0.7303419969975948,0.8555355519056321,-0.07526881720430108,Negligible
Background removal,baseline,nobg_only,mouse,chamfer_distance,10,0.06508517172406963,0.05623523933658098,-0.008849932387488662,-13.597463374619625,7,3,0,11.0,0.10546875,0.34375,0.6,Large
Background removal,baseline,nobg_only,mouse,hausdorff_95,10,0.23767736534269082,0.2212049887726914,-0.016472376569999458,-6.93056174964285,7,3,0,19.0,0.431640625,0.34375,0.3090909090909091,Moderate
Background removal,baseline,nobg_only,mouse,maximum_distance,10,0.2946989875892907,0.2748210392276701,-0.01987794836162053,-6.745170224108012,7,3,0,18.0,0.375,0.34375,0.34545454545454546,Moderate
Background removal,baseline,nobg_only,bottle,chamfer_distance,10,0.06528274114386154,0.06887991800890791,0.0035971768650463836,5.510149852806256,6,4,0,26.0,0.921875,0.75390625,0.05454545454545454,Negligible
Background removal,baseline,nobg_only,bottle,hausdorff_95,10,0.21797741108026245,0.23903823607086871,0.021060824990606256,9.661930053317024,5,5,0,22.0,0.625,1.0,-0.2,Small
Background removal,baseline,nobg_only,bottle,maximum_distance,10,0.2676623425417999,0.28982894109069546,0.02216659854889557,8.281552921638163,5,5,0,20.0,0.4921875,1.0,-0.2727272727272727,Small
Background removal,baseline,nobg_only,shoe,chamfer_distance,10,0.05197179619651303,0.05084475129295492,-0.0011270449035581157,-2.1685702362423416,4,6,0,26.0,0.921875,0.75390625,0.05454545454545454,Negligible
