group,method,comparison_count,mean_chamfer_distance,median_chamfer_distance,stdev_chamfer_distance,mean_hausdorff_95,median_hausdorff_95,stdev_hausdorff_95,mean_maximum_distance,median_maximum_distance,stdev_maximum_distance
overall,baseline,30,0.060779903021481396,0.05729932715604071,0.02616977037763517,0.21815854775828913,0.2268135051407621,0.07745693318349588,0.272442914664073,0.2599959220887659,0.07640034060011018
overall,ratio_70,30,0.061959960855017995,0.0550397474703835,0.034341897923714164,0.22574773212583385,0.22523764721607042,0.09855098495513215,0.27534535983390457,0.2890788833156693,0.09707267642518548
overall,ratio_80,30,0.05830112288699723,0.056145251089171816,0.032608594647343433,0.2211982319832927,0.2284763792358216,0.109639146432036,0.2729923152586222,0.2705475043685984,0.10948872865170527
overall,ratio_90,30,0.06064616444783859,0.05545714692269074,0.03235439907204928,0.22105040054900474,0.2224689526363836,0.10177272747720274,0.27505493559156863,0.28190922156814074,0.09717669414749767
mouse,baseline,10,0.06508517172406963,0.06507838903226117,0.022260655386026316,0.23767736534269082,0.2557421463752713,0.07222139044904972,0.2946989875892907,0.3131740323345177,0.08421141563412111
mouse,ratio_70,10,0.057689522225065584,0.0550397474703835,0.018652451644070988,0.23338878330686114,0.2638356232378466,0.07081902736649576,0.2905501367483253,0.31020915501600477,0.07816427208864181
mouse,ratio_80,10,0.05221606565238503,0.052454451203258604,0.019468761318167112,0.21913365046597438,0.22884434703939838,0.09288918964355103,0.27092753246021056,0.27733764521394566,0.11167119259702174
mouse,ratio_90,10,0.05928315887212665,0.05459967410961296,0.02400161558416336,0.2223241794732787,0.21313754948014108,0.07634305692292864,0.2801595086140812,0.2892838992234341,0.08542137065529307
bottle,baseline,10,0.06528274114386154,0.06856628739139062,0.03852318600584008,0.21797741108026245,0.23682234147251485,0.11022472070314679,0.2676623425417999,0.25482731615325627,0.09824248867297479
bottle,ratio_70,10,0.07804781253266567,0.06894464859613006,0.05297542418786971,0.2528964525976874,0.26537709013441224,0.146836127517156,0.2825660371821896,0.2899472364637299,0.14169473436743296
bottle,ratio_80,10,0.06900781367796595,0.062003125448508715,0.05158410840116828,0.22452292357622222,0.23060097560896953,0.1618470613862311,0.26651753787779103,0.25155628582100176,0.14783826598336813
bottle,ratio_90,10,0.07043233114703837,0.06744853710500502,0.04963642457448686,0.22872248373251525,0.2418098465323227,0.15391819425500852,0.2799939246485008,0.27469994672272224,0.13551047569931723
shoe,baseline,10,0.05197179619651303,0.054256884354208675,0.009892530665123103,0.1988208668519142,0.19991711785237365,0.03358128493835015,0.2549674138611285,0.2535854528242045,0.033910354916203804
shoe,ratio_70,10,0.05014254780732273,0.04821693746586267,0.013522648765718338,0.1909579604729531,0.20313957994215429,0.049903558791087814,0.2529199055711987,0.2657235855990417,0.05746914720277886
shoe,ratio_80,10,0.05367948933064073,0.05299819163184904,0.013930423461662471,0.21993812190768153,0.2160775829355948,0.06238468072972465,0.281531875437865,0.279201968257824,0.06456271237610335
shoe,ratio_90,10,0.052223003324350724,0.05458942186523852,0.012078320438930278,0.21210453844122043,0.2224689526363836,0.06082413601618522,0.265011373512124,0.2817004111239338,0.06782629463792203
