group,metric,pair_count,baseline_mean,final_proposed_mean,mean_difference,mean_change_percent,baseline_median,final_proposed_median,improved_pairs,worsened_pairs,unchanged_pairs,wilcoxon_statistic,wilcoxon_p_value,rank_biserial_effect,effect_magnitude
overall,chamfer_distance,30,0.060779903021481396,0.05855108667955738,-0.0022288163419240115,-3.667028460272945,0.05729932715604071,0.05678161183641904,17,13,0,200.0,0.5158484429121017,0.13978494623655913,Small
overall,hausdorff_95,30,0.21815854775828913,0.21505547653166138,-0.003103071226627722,-1.4223926857387386,0.2268135051407621,0.2256978659011472,13,17,0,228.0,0.935398668050766,-0.01935483870967742,Negligible
overall,maximum_distance,30,0.272442914664073,0.2684141459573996,-0.004028768706673378,-1.478757012874035,0.2599959220887659,0.2666779893267267,14,16,0,216.0,0.7456546742469072,0.07096774193548387,Negligible
mouse,chamfer_distance,10,0.06508517172406963,0.05613531093069442,-0.008949860793375217,-13.75099820173848,0.06507838903226117,0.056370046110728225,7,3,0,13.0,0.16015625,0.5272727272727272,Large
mouse,hausdorff_95,10,0.23767736534269082,0.2161179510748404,-0.021559414267850456,-9.070873971009139,0.2557421463752713,0.22822125646221605,6,4,0,15.0,0.232421875,0.45454545454545453,Moderate
mouse,maximum_distance,10,0.2946989875892907,0.2721591944471745,-0.022539793142116186,-7.648412139619877,0.3131740323345177,0.29157961587765413,6,4,0,14.0,0.193359375,0.4909090909090909,Moderate
bottle,chamfer_distance,10,0.06528274114386154,0.06795959639923435,0.0026768552553728168,4.100402661514948,0.06856628739139062,0.06457055169357595,6,4,0,22.0,0.625,-0.2,Small
bottle,hausdorff_95,10,0.21797741108026245,0.21939874349117647,0.0014213324109140237,0.6520549096670697,0.23682234147251485,0.23092636846879555,5,5,0,26.0,0.921875,-0.05454545454545454,Negligible
bottle,maximum_distance,10,0.2676623425417999,0.26456082080041177,-0.003101521741388125,-1.15874415202944,0.25482731615325627,0.2542513474838535,4,6,0,27.0,1.0,0.01818181818181818,Negligible
shoe,chamfer_distance,10,0.05197179619651303,0.05155835270874339,-0.00041344348776963387,-0.7955151024727831,0.054256884354208675,0.05501211911764352,4,6,0,26.0,0.921875,-0.05454545454545454,Negligible
shoe,hausdorff_95,10,0.1988208668519142,0.20964973502896744,0.010828868177053261,5.446545097863804,0.19991711785237365,0.22357570852753764,2,8,0,16.0,0.275390625,-0.41818181818181815,Moderate
shoe,maximum_distance,10,0.2549674138611285,0.2685224226246127,0.013555008763484176,5.3163690834888895,0.2535854528242045,0.27237681597872543,4,6,0,21.0,0.556640625,-0.23636363636363636,Small
